info,rating_num,title
我不信仰上帝，但我敬畏上帝。,8.3,功夫
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,8.6,非常嫌疑犯
你要相信，这世上真的有爱存在，不管在什么年纪 ,8.6,卡萨布兰卡
皇上无话儿。,9.0,我爱你
一部能引人思考的科幻励志片。,8.3,国王的演讲
每个人的内心都是深不可测的大海。 ,8.7,千钧一发
用剩余不多的时间，去燃烧整个生命。,8.5,美国丽人
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,8.6,疯狂的麦克斯4：狂暴之路
一个人的独角戏。,8.6,遗愿清单
过去的如果就让它过去了，未来只会越来越糟！,8.6,奇迹男孩
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,8.7,碧海蓝天
"In memory, love lives forever...",8.5,荒岛余生
出门必备：本草纲目。,8.3,驴得水
